Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
divet,divot,dive,diet,divert,[UNK]
dockson,dachshund,docks,dickson,Dickson,docks
docsund,dachshund,jocund,docsund,tocsins,doc
doctorial,doctoral,doctoral,doctorial,doctoral,doctor
donejun,dungeon,donjon,donejun,done jun,done
doorjam,doorjamb,doorjamb,doorway,doorjamb,door
dorment,dormant,torment,torment,dormant,omitted
dosseay,dossier,dossal,ossea,Dorsey,[UNK]
doublely,doubly,double,double,doublet,missing
dout,doubt,out,out,doubt,[UNK]
droping,dropping,dropping,dropping,drooping,dropping
drowt,drought,drown,drown,drown,[UNK]
duble,double,double,double,double,dub
dum,dumb,due,dum,dim,du
eary,eerie,easy,mary,aery,ear
eazy,easy,easy,easy,easy,[UNK]
eczecutive,executive,executive,executive,executive,omitted
edeycat,etiquette,,edeycat,educate,unknown
editting,editing,editing,editing,editing,used
eeger,eager,eager,eager,eager,e
eejus,aegis,fetus,jesus,ekes,ee
elagant,elegant,elegant,elegant,elegant,[UNK]
elamentry,elementary,elementary,elementary,elementary,[UNK]
electorial,electoral,electoral,electoral,electoral,blank
embalance,imbalance,imbalance,balance,imbalance,incorrect
embaress,embarrass,embarrass,empress,embarrass,[UNK]
embarrasing,embarrassing,embarrassing,embarrassing,embarrassing,[UNK]
embeded,embedded,embedded,embedded,embedded,omitted
embrio,embryo,embryo,embryo,embryo,e
emense,immense,sense,sense,omens,[UNK]
empass,impasse,pass,pass,impasse,incorrect
emperial,imperial,imperial,imperial,imperial,omitted
empressed,impressed,impressed,expressed,empresses,omitted
encompus,encompass,encompass,encompass,encompass,used
endever,endeavor,never,never,endive,end
endur,endure,endure,endure,endue,r
enormass,enormous,enormous,enormous,enormous,[UNK]
entent,intent,intent,extent,entente,omitted
enterance,entrance,entrance,entrance,entrance,enter
enthuseastic,enthusiastic,enthusiastic,enthusiastic,enthusiastic,correct
entrapeneur,entrepreneur,entrepreneur,entrapeneur,entrepreneur,omitted
enuf,enough,end,end,Enif,[UNK]
enviroment,environment,environment,environment,environment,unknown
envoke,invoke,invoke,evoke,evoke,[UNK]
epitamy,epitome,epitaxy,epitamy,epitome,omitted
equivalant,equivalent,equivalent,equivalent,equivalent,omitted
escartment,escarpment,escarpment,escartment,escarpment,used
esthetic,aesthetic,esthetic,aesthetic,aesthetic,masculine
estuwarry,estuary,estuary,estuwarry,estuary,[UNK]
etamology,etymology,etymology,etiology,etymology,[UNK]
evesdrop,eavesdrop,eavesdrop,evesdrop,eavesdrop,unknown
eviserate,eviscerate,eviscerate,eviserate,eviscerate,ev
exagerate,exaggerate,exaggerate,exaggerate,exaggerate,correct
examin,examine,examine,examine,examine,blank
excelent,excellent,excellent,excellent,excellent,omitted
excell,excel,excel,except,excel,excel
excitment,excitement,excitement,excitement,excitement,[UNK]
exersize,exercise,exercise,exercise,exercise,correct
exhilerate,exhilarate,exhilarate,exhilerate,exhilarate,correct
exhorbitent,exorbitant,exorbitant,exorbitant,exorbitant,correct
exilerate,exhilarate,exonerate,exilerate,exile rate,[UNK]
existance,existence,existence,existence,existence,unknown
exort,exhort,export,export,exhort,correct
expatriot,expatriate,patriot,patriot,expatriate,english
explination,explanation,explanation,explanation,explanation,christ
exstacy,ecstasy,eustacy,ecstasy,Ecstasy,error
exstream,extreme,stream,stream,ex stream,used
extatic,ecstatic,exotic,ecstatic,ecstatic,omitted
extention,extension,extension,extension,extension,unknown
extrodinary,extraordinary,extraordinary,extraordinary,extraordinary,unknown
exurpt,excerpt,except,except,expat,omitted
ezdrop,eavesdrop,drop,drop,entropy,[UNK]
fairoh,pharaoh,fair,faith,faro,no
falt,fault,felt,felt,flat,f
famly,family,family,family,family,[UNK]
fane,feign,fane,face,Dane,fan
fariar,farrier,friar,friar,friar,unknown
farmasudical,pharmaceutical,,farmasudical,pharmaceutical,unknown
farse,farce,false,false,fares,[UNK]
faseeshus,facetious,,faseeshus,facetious,[UNK]
fasen,fasten,fasten,fasten,fasten,[UNK]
fasend,fastened,friend,friend,fa send,[UNK]
fashism,fascism,fascism,fashion,fascism,[UNK]
fashon,fashion,fashion,fashion,fashion,[UNK]
fasodd,facade,fasted,fasted,fast,r
fassinate,fascinate,fascinate,fascinate,fascinate,[UNK]
fatig,fatigue,fating,fig,fating,[UNK]
favritt,favorite,favorite,favorite,favourite,[UNK]
faymus,famous,famous,famous,famous,unknown
feasabile,feasible,feasible,feasible,feasible,e
feasable,feasible,feasible,feasible,feasible,missing
febuary,february,rebury,february,February,unknown
felisatus,felicitous,,felisatus,felicitous,latin
feonsay,fiancée,,feonsay,fens,[UNK]
fertil,fertile,fertile,fertile,fertile,[UNK]
fewd,feud,few,few,feed,d
fewg,fugue,few,few,few,g
fewsha,fuchsia,geisha,fewsha,fish,no
fezent,pheasant,feet,feet,decent,hungarian
ficks,fix,picks,licks,fucks,here
fillay,fillet,filly,filled,filly,[UNK]
fillement,filament,filament,filament,filament,blank
filo,phyllo,filo,fill,filo,e
finess,finesse,finest,finest,finesse,[UNK]
finness,finesse,fitness,fitness,fineness,finn
firey,fiery,fire,fire,fiery,fire
fizeek,physique,fizzed,fizeek,Fisk,[UNK]
flem,phlegm,flew,flew,fem,[UNK]
flewant,fluent,elegant,elegant,flew ant,unknown
flexable,flexible,flexible,flexible,flexible,used
floatation,flotation,floatation,flotation,flotation,float
floresent,fluorescent,florescent,floresent,florescent,omitted
floride,fluoride,fluoride,florida,fluoride,used
flud,flood,fled,fluid,fluid,[UNK]
focusses,focuses,focusses,focused,focuses,used
fonetic,phonetic,tonetic,poetic,phonetic,correct
forbatum,verbatim,,forbatum,verbatim,latin
forceably,forcibly,forcibly,forcibly,forcibly,:
forfit,forfeit,forfeit,forfeit,forfeit,[UNK]
forhead,forehead,forehead,forehead,forehead,c
forin,foreign,florin,for,florin,n
forman,foreman,formal,formal,Foreman,[UNK]
formulayic,formulaic,formulaic,formulayic,formulaic,[UNK]
fourty,forty,fourth,forty,forty,c
frew-frew,frou-frou,,few-few,free,[UNK]
fullfill,fulfill,fulfill,fulfill,fulfil,full
funrel,funeral,funnel,funnel,funeral,[UNK]
fusha,fuchsia,push,rush,fish,[UNK]
futal,futile,fatal,fatal,fatal,[UNK]
gage,gauge,gage,gage,Gage,gage
gagit,gadget,gait,gait,gait,[UNK]
gard,guard,hard,hard,guard,g
garentee,guarantee,guarantee,guarantee,grantee,[UNK]
gargoil,gargoyle,garboil,gargoil,gargoyle,[UNK]
garilla,guerrilla,gorilla,gorilla,gorilla,:
gastly,ghastly,ghastly,lastly,ghastly,gas
gayity,gaiety,gayety,cavity,gaiety,gay
gaysha,geisha,gays,masha,gash,[UNK]
geeoteen,guillotine,,geeoteen,gotten,dutch
geneology,genealogy,genealogy,geology,genealogy,gene
generaly,generally,general,general,generally,general
genuin,genuine,genuine,genuine,genuine,unknown
geraff,giraffe,graft,graft,giraffe,blank
gerilla,guerrilla,gorilla,gorilla,gorilla,[UNK]
gess,guess,guess,less,guess,[UNK]
getoe,ghetto,get,get,geode,[UNK]
gilotine,guillotine,nicotine,gilotine,guillotine,[UNK]
gilty,guilty,guilty,guilty,guilty,unknown
ginee,guinea,give,give,Ginger,gin
gingam,gingham,gingham,ingram,gingham,[UNK]
giser,geyser,wiser,wiser,guise,blank
gitar,guitar,guitar,guitar,guitar,[UNK]
glyserin,glycerin,glycerin,glycerin,glycerine,[UNK]
gool,ghoul,good,good,Gogol,goo
gord,gourd,good,good,gird,go
gormay,gourmet,normal,german,Gamay,[UNK]
gorry,gory,sorry,sorry,Gorey,[UNK]
gost,ghost,got,most,ghost,go
gotee,goatee,goatee,got,goatee,[UNK]
goverment,government,government,government,government,omitted
govoner,governor,sooner,sooner,govern,[UNK]
grainery,granary,trainer,granary,granary,[UNK]
grammer,grammar,grammar,grammar,crammer,[UNK]
grandize,aggrandize,granite,grandee,grandiose,[UNK]
grandeeos,grandiose,grandee's,grandees,grandees,[UNK]
granjure,grandeur,granule,granjure,grange,[UNK]
greatful,grateful,grateful,dreadful,grateful,great
groosome,gruesome,gruesome,gruesome,gruesome,here
groosum,gruesome,groom,groom,groom,[UNK]
groshury,grocery,,groshury,grocery,[UNK]
groth,growth,growth,growth,growth,thor
growtesk,grotesque,growths,growths,grottoes,[UNK]
guage,gauge,gauge,gage,gauge,[UNK]
gubnatorial,gubernatorial,gubernatorial,gubnatorial,gubernatorial,[UNK]
guyzer,geyser,buyer,gunner,gazer,guy
gwava,guava,guava,gave,guava,[UNK]
gymnist,gymnast,gymnast,gymnist,gymnast,[UNK]
hagas,haggis,hags,has,hags,[UNK]
hallaluja,hallelujah,hallelujah,hallaluja,hallelujah,unknown
hallaluya,hallelujah,,hallaluya,hallelujah,[UNK]
hankerchif,handkerchief,handkerchief,handkerchief,handkerchief,blank
hansome,handsome,handsome,handsome,handsome,:
harrang,harangue,arrange,arrange,arrange,unknown
harrass,harass,harass,harness,harass,[UNK]
harth,hearth,earth,earth,hearth,hart
hauty,haughty,hasty,hasty,Hutu,[UNK]
haynus,heinous,hands,hands,Haynes,unknown
hefer,heifer,refer,refer,heifer,r
hemorage,hemorrhage,hemorrhage,hemorage,haemorrhage,[UNK]
henderence,hindrance,,henderence,hindrance,[UNK]
hevy,heavy,heavy,heavy,heavy,he
hieght,height,height,height,height,[UNK]
hiena,hyena,hyena,vienna,henna,[UNK]
hietus,hiatus,hiatus,hints,hiatus,latin
him,hymn,him,him,him,him
hirearcy,hierarchy,hierarchy,hierarchy,hierarchy,[UNK]
hist,heist,his,his,hist,not
histry,history,history,history,history,his
hoeks,hoax,hooks,hooks,hokes,dutch
hollowcost,holocaust,hollowest,hollowcost,hollow cost,missing
homogenity,homogeneity,homogeneity,homogenity,homogeneity,homo
hootsba,chutzpah,hoots,hootsba,hoots,[UNK]
horrable,horrible,horrible,horrible,horrible,unknown
huricane,hurricane,hurricane,hurricane,hurricane,[UNK]
huristic,heuristic,heuristic,huristic,heuristic,latin
hurse,hearse,horse,horse,horse,[UNK]
hussel,hustle,mussel,vessel,Husserl,[UNK]
hydrolics,hydraulics,hydraulics,hydraulics,hydraulics,[UNK]
hygene,hygiene,hygiene,helene,hygiene,[UNK]
hygenic,hygienic,hygienic,hygienic,hygienic,h
hyperboly,hyperbole,hyperbole,hyperboly,hyperbola,[UNK]
icesickle,icicle,,icesickle,ice sickle,ice
ideosincracy,idiosyncrasy,,ideosincracy,idiosyncrasy,democracy
igzort,exhort,ignore,import,Igor's,[UNK]
iland,island,land,land,inland,[UNK]
ileagle,illegal,league,league,illegal,[UNK]
ilegle,illegal,liege,ilegle,illegal,[UNK]
illigitament,illegitimate,,illigitament,allotment,[UNK]
illistrate,illustrate,illustrate,illustrate,illustrate,[UNK]
imbaress,embarrass,impress,impress,embarrass,[UNK]
imbrase,embrace,embrace,embrace,umbras,[UNK]
imediately,immediately,immediately,immediately,immediately,[UNK]
imfamus,infamous,infamous,infamous,infamous,unknown
imigrate,immigrate,migrate,migrate,immigrate,[UNK]
immediatly,immediately,immediately,immediately,immediately,english
immenantly,eminently,imminently,immenantly,immanently,here
impeed,impede,impede,impeded,impede,unknown
impune,impugn,immune,immune,impinge,unknown
inbankment,embankment,embankment,embankment,embankment,omitted
inbrase,embrace,increase,increase,increase,[UNK]
inbrio,embryo,inbred,inbrio,INRI,latin
inconsistant,inconsistent,inconsistent,inconsistent,inconsistent,incorrect
incompasitate,incapacitate,,incompasitate,incapacitate,incorrect
indescriminent,indiscriminate,,indescriminent,indiscriminate,omitted
indever,endeavor,indexer,never,indexer,ind
indite,indict,indite,invite,indite,ind
individule,individual,individual,individual,individual,omitted
indure,endure,endure,endure,insure,ind
inferrable,inferable,inferrable,inferrable,conferrable,unknown
infintesimal,infinitesimal,infinitesimal,infinitesimal,infinitesimal,[UNK]
inflamation,inflammation,inflammation,inflammation,inflammation,[UNK]
inheratance,inheritance,inheritance,inheritance,inheritance,[UNK]
innoculate,inoculate,inoculate,inoculated,inoculate,correct
innosense,innocence,nonsense,nonsense,innocence,unknown
insepsion,inception,insertion,insertion,inception,[UNK]
instanciation,instantiation,instantiation,instanciation,instantiating,[UNK]
instanseation,instantiation,instantiation,instanseation,installation,[UNK]
insturment,instrument,instrument,instrument,instrument,[UNK]
insue,ensue,issue,issue,insure,[UNK]
inteligable,intelligible,ineligible,intelligible,intelligible,correct
inteligance,intelligence,intelligence,intelligence,intelligence,english
intercollegate,intercollegiate,intercollegiate,intercollegate,intercollegiate,used
interfear,interfere,interfere,interfere,inter fear,:
interferance,interference,interference,interference,interference,[UNK]
interrum,interim,interrupt,interrupt,interim,omitted
interupt,interrupt,interrupt,interrupt,interrupt,used
inticement,enticement,enticement,indictment,enticement,[UNK]
intreeg,intrigue,inbreed,entree,entree,[UNK]
intrest,interest,interest,interest,interest,unknown
intuative,intuitive,intuitive,initiative,intuitive,omitted
inturpratasion,interpretation,,inturpratasion,interpretation,[UNK]
inturprett,interpret,interpret,interpret,interpret,[UNK]
invokation,invocation,invocation,invitation,invocation,[UNK]
isle,aisle,isle,isle,isle,isle
ismas,isthmus,ism's,ideas,isms,##mas
jagid,jagged,said,said,jagged,[UNK]
jagwar,jaguar,jaguar,agar,Jaguar,[UNK]
jalusey,jalousie,causey,jalusey,jalousie,[UNK]
jelous,jealous,jealous,jealous,jealous,[UNK]
jelusey,jealousy,jersey,jersey,Kelsey,[UNK]
jepordize,jeopardize,jeopardize,jepordize,jeopardise,[UNK]
jewl,jewel,jewel,jewel,Jewel,jew
jodpers,jodhpurs,coppers,gompers,dopers,[UNK]
jossle,jostle,jostle,jostle,jostle,j
journy,journey,journey,journey,journey,[UNK]
judgement,judgment,judgement,judgement,judgement,judgment
jurnal,journal,journal,journal,journal,[UNK]
jurny,journey,jury,jury,jury,j
kackie,khaki,hackie,katie,Jackie,[UNK]
kalidescope,kaleidoscope,kaleidoscope,kalidescope,kaleidoscope,[UNK]
karisma,charisma,karma,karisma,Krista,kari
keesh,quiche,keep,fresh,Keisha,[UNK]
kernul,colonel,kernel,vernal,kernel,[UNK]
keyosk,kiosk,keys,keys,kayos,key
kibutz,kibbutz,kibbutz,kibutz,kibbutz,[UNK]
kidknap,kidnap,kidnap,kidnap,kidnap,[UNK]
kighbosh,kibosh,kibosh,kighbosh,kibosh,[UNK]
kimerra,chimera,sierra,kimerra,camera,[UNK]
kindergarden,kindergarten,kindergarten,kindergarden,kindergarten,[UNK]
kiyack,kayak,kick,kick,kayak,[UNK]
knockous,noxious,knockout,knocks,knockouts,knock
knowlegable,knowledgeable,knowledgeable,knowlegable,knowledgeable,unknown
knowlege,knowledge,knowledge,knowledge,knowledge,unknown
kookoo,cuckoo,koodoo,koko,kook,[UNK]
koolot,culottes,kolo,koolot,jolt,[UNK]
kresh,crèche,fresh,fresh,fresh,k
kronicle,chronicle,chronicle,chronicle,chronicle,k
kwuzine,cuisine,,kwuzine,Wezen,[UNK]
kyebosh,kibosh,kibosh,kyebosh,kibosh,[UNK]
lable,label,able,table,label,lab
labratory,laboratory,laboratory,laboratory,laboratory,correct
labrynth,labyrinth,labyrinth,labyrinth,labyrinth,here
lackrimose,lachrymose,lachrymose,lackrimose,lachrymose,missing
lacker,lacquer,lacker,lacked,lackey,blank
laf,laugh,law,law,leaf,l
lama,llama,lama,lamp,lama,lama
lambast,lambaste,lambast,lambs,lambaste,[UNK]
langerie,lingerie,lingerie,langeron,lingerie,[UNK]
langerray,lingerie,,langerray,Langley,[UNK]
layrinks,larynx,latrines,latrines,lay rinks,[UNK]
larinx,larynx,larynx,larynx,Latinx,r
larvay,larvae,larvae,larvae,larva,[UNK]
larvy,larvae,larva,larry,larva,[UNK]
lasonya,lasagna,,sonya,Latonya,[UNK]
layed,laid,played,played,flayed,laid
leaneant,lenient,leanest,leaneant,lenient,j
leasure,leisure,pleasure,pleasure,leisure,[UNK]
leeg,league,leg,leg,leg,lee
leegun,legion,begun,begun,lee gun,unknown
leesure,leisure,leisure,leisure,leisure,lee
legionair,legionnaire,legionnaire,legionair,legion air,legion
lemosine,limousine,limousine,leonine,limousine,[UNK]
lepard,leopard,leopard,leopard,leopard,j
lepracan,leprechaun,,lepracan,leprechaun,unknown
leprachan,leprechaun,leprechaun,leprachan,leprechaun,[UNK]
lepracy,leporsy,legacy,leprosy,leprosy,[UNK]
leutenant,lieutenant,lieutenant,lieutenant,lieutenant,[UNK]
lew,lieu,let,new,Lew,lew
lewchemia,leukemia,,leucaemia,leeches,unknown
lewow,luau,low,low,Lowe,lew
lewtenant,lieutenant,lieutenant,lieutenant,lieutenant,not
liason,liaison,liaison,liaison,liaison,[UNK]
licker,liquor,licker,licked,locker,lick
lightening,lightning,lightening,lightning,lightening,light
ligitamassy,legitimacy,,ligitamassy,legitimacy,[UNK]
ligitamate,legitimate,legitimate,legitimate,legitimate,[UNK]
likeable,likable,likeable,liable,likeable,perfect
likelyhood,likelihood,likelihood,likelihood,likelihood,no
limosine,limousine,limousine,limosine,limousine,c
lite,light,lite,like,lite,lit
liturature,literature,literature,literature,literature,omitted
loath,loathe,loath,loath,loath,not
lood,lewd,good,good,loos,here
lozonya,lasagna,loony,lozonya,Latonya,[UNK]
lugage,luggage,luggage,luggage,luggage,[UNK]
lushis,luscious,lush's,tushin,lush's,[UNK]
macack,macaque,macaco,mack,Mack,mac
macason,moccasin,macaroni,jackson,moccasin,mac
machettie,machete,machete,machettie,machete,[UNK]
mailstrum,maelstrom,maelstrom,mailstrum,maelstrom,q
maintainance,maintenance,maintenance,maintenance,maintenance,[UNK]
maintenence,maintenance,maintenance,maintenance,maintenance,[UNK]
maline,malign,marine,saline,Malone,pierre
malless,malice,mallets,mallets,mallets,[UNK]
mamento,memento,memento,memento,memento,e
mamuth,mammoth,mouth,mouth,mammoth,[UNK]
manaise,mayonnaise,malaise,malaise,manias,mana
manaze,mayonnaise,manage,manage,manse,mana
manetain,maintain,maintain,maintain,maintain,[UNK]
manikin,mannequin,manikin,mankind,manikin,english
mantain,maintain,maintain,maintain,maintain,unknown
manuver,maneuver,maneuver,maneuver,manure,[UNK]
markey,marquee,market,marked,market,mark
marrage,marriage,marriage,marriage,marriage,[UNK]
marshall,marshal,marshall,marshall,Marshall,marshall
marshmellow,marshmallow,marshmallow,marshmellow,marshmallow,strawberry
marter,martyr,matter,matter,matter,:
masakist,masochist,,masakist,muskiest,[UNK]
mashetty,machete,,pashette,mashed,[UNK]
masia,messiah,mafia,masha,Masai,[UNK]
masicer,massacre,master,master,masers,[UNK]
maskeraid,masquerade,,maskeraid,masker aid,[UNK]
masiff,massif,mastiff,mastiff,mastiff,[UNK]
masstif,mastiff,massif,mastiff,massif,[UNK]
massectomy,mastectomy,mastectomy,massectomy,mastectomy,surgery
massewer,masseur,masseter,masseter,mas sewer,[UNK]
massoose,masseuse,masseuse,massoose,masseuse,[UNK]
matinay,matinee,mainly,mainly,Martina,[UNK]
mawsoleum,mausoleum,mausoleum,mawsoleum,mausoleum,[UNK]
mayonase,mayonnaise,mayonnaise,mayonnaise,mayonnaise,mayo
meerly,merely,merely,merely,merely,[UNK]
merecat,meerkat,erect,erect,mere cat,unknown
mecanical,mechanical,mechanical,mechanical,mechanical,english
meccob,macabre,mecca,meccob,McCoy,[UNK]
meddo,meadow,eddo,muddy,med,med
medifor,metaphor,editor,editor,modifier,[UNK]
medioker,mediocre,mediocre,medioker,mediocre,[UNK]
medisinal,medicinal,medicinal,medicinal,medicinal,unknown
medow,meadow,meadow,meadow,meadow,e
mealflur,millefleur,,mealflur,manful,[UNK]
melancoly,melancholy,melancholy,melancholy,melancholy,[UNK]
melineum,millennium,perineum,perineum,melanoma,latin
memmick,mimic,gimmick,memmick,mimic,here
memwars,memoirs,members,members,memoirs,[UNK]
mension,mention,mention,mention,mansion,[UNK]
menus,menace,menus,venus,menus,menu
meraj,mirage,mean,mean,Merak,[UNK]
merang,meringue,mean,means,me rang,[UNK]
meskeeto,mosquito,,meskeeto,musket,[UNK]
mesoneen,mezzanine,,mesoneen,meson,[UNK]
mesure,measure,measure,measure,measure,here
metalic,metallic,metallic,metallic,metallic,metal
mezmorize,mesmerize,memorize,mezmorize,memorise,[UNK]
midevil,medieval,devil,devil,mi devil,unknown
mige,midge,mine,mine,midge,[UNK]
milicous,malicious,malicious,malicious,malicious,unknown
milktoast,milquetoast,,milktoast,milk toast,milk
milyew,milieu,mildew,miles,mildew,[UNK]
minature,miniature,miniature,miniature,miniature,[UNK]
miniscule,minuscule,miniscule,miniscule,minuscule,[UNK]
miniture,miniature,miniature,miniature,miniature,[UNK]
minoosha,minutia,,minoosha,Minos,[UNK]
mischevus,mischievous,mischievous,mischievous,mischievous,error
mischieveous,mischievous,mischievous,mischievous,mischievous,incorrect
miselaneous,miscellaneous,miscellaneous,miselaneous,miscellaneous,unknown
mispell,misspell,misspell,spell,misspell,omitted
mispelled,misspelled,misspelled,dispelled,misspelled,used
misquito,mosquito,mosquito,mosquito,mosquito,used
missable,miscible,kissable,miserable,kissable,missing
missle,missile,missile,missile,missile,miss
missletow,mistletoe,mistletoe,missletow,mistletoe,[UNK]
missunderstood,misunderstood,misunderstood,misunderstood,misunderstood,missing
misteek,mystique,mistake,mistake,mistake,[UNK]
mistery,mystery,mystery,mystery,Mister,mister
mistic,mystic,mystic,mystic,mastic,mist
monarkey,monarchy,monkey,monarchy,monkey,[UNK]
montaj,montage,months,months,montage,[UNK]
monthes,months,months,months,months,:
morgage,mortgage,mortgage,mortgage,mortgage,[UNK]
morg,morgue,more,more,org,mor
morter,mortar,mortar,porter,mortar,mort
moteef,motif,mother,mother,motif,[UNK]
murr,myrrh,burr,burr,mire,r
mussil,muscle,mussel,russia,mussel,[UNK]
mustash,mustache,stash,mustache,mu stash,[UNK]
mystrow,maestro,misthrow,mystrow,mys trow,unknown
napom,napalm,nap,nap,nap om,[UNK]
narled,gnarled,nailed,snarled,gnarled,[UNK]
nastalgea,nostalgia,nostalgia,nastalgea,nostalgia,[UNK]
nastershum,nasturtium,,nastershum,nasturtium,[UNK]
nawseous,nauseous,nauseous,caseous,nauseous,[UNK]
nawshus,nauseous,,nawshus,Nash's,[UNK]
naybor,neighbor,mayor,labor,nab,[UNK]
neccessary,necessary,necessary,necessary,necessary,[UNK]
necessarally,necessarily,necessarily,necessarily,necessarily,[UNK]
neether,neither,neither,neither,nether,:
neral,neural,neral,general,neural,ne
nerative,narrative,negative,negative,narrative,[UNK]
nervana,nirvana,nirvana,servant,Nirvana,[UNK]
nestolgia,nostalgia,nostalgia,nestolgia,nostalgia,[UNK]
neumonic,mnemonic,pneumonic,pneumonia,mnemonic,english
newance,nuance,enhance,enhance,nuance,new
newmatic,pneumatic,nematic,newmatic,pneumatic,used
newmonia,pneumonia,pneumonia,pneumonia,pneumonia,unknown
newsans,nuisance,newsman,newlands,new sans,news
niether,neither,neither,neither,neither,[UNK]
nieve,naive,niece,niece,Nieves,n
nieveatay,naivete,,nieveatay,naivety,[UNK]
nife,knife,life,life,knife,[UNK]
nimph,nymph,nymph,lymph,nymph,[UNK]
ninty,ninety,ninth,ninth,ninety,[UNK]
nitch,niche,bitch,pitch,notch,[UNK]
nite,night,nite,note,note,n
nome,gnome,come,some,Nome,no
noteable,notable,notable,notable,notable,missing
noticable,noticeable,noticeable,noticeable,noticeable,unknown
notoreous,notorious,notorious,notorious,notorious,not
nnovisheate,novitiate,,nnovisheate,novitiate,[UNK]
nusance,nuisance,nuisance,nuisance,nuisance,[UNK]
nutral,neutral,neutral,neutral,neutral,[UNK]
nutrieous,nutritious,nutrients,nutrieous,notorious,[UNK]
oaker,ocher,maker,baker,ocker,oak
obation,ovation,ovation,oration,oblation,[UNK]
obay,obey,okay,obey,bay,[UNK]
obleek,oblique,bleed,bleed,ob leek,[UNK]
oblisk,obelisk,obelisk,bliss,obelisk,[UNK]
ocapella,acappella,canella,ocapella,Capella,[UNK]
occassion,occasion,occasion,occasion,occasion,omitted
occation,occasion,occasion,occasion,occasion,[UNK]
occured,occurred,occurred,occurred,occurred,omitted
occurrance,occurrence,occurrence,occurrence,occurrence,unknown
occurence,occurrence,occurrence,occurrence,occurrence,used
occuring,occurring,occurring,occuring,occurring,missing
ocilate,oscillate,opiate,dilate,oscillate,omitted
octive,octave,active,active,active,omitted
odasee,odyssey,oases,odasee,odes,[UNK]
offen,often,offer,often,offend,e
offically,officially,officially,officially,officially,used
offisianado,aficionado,,offisianado,officiant,[UNK]
oger,ogre,over,over,goer,og
omage,homage,image,image,image,om
omaj,homage,oman,may,Maj,om
omlet,omelet,omelet,omelet,owlet,om
omnishints,omniscience,,omnishints,omniscient,[UNK]
onomonopea,onomatopoeia,,onomonopea,onomatopoeia,[UNK]
onwee,ennui,one,one,on wee,here
opayk,opaque,pay,pay,opaque,[UNK]
opinyon,opinion,opinion,opinion,pinyon,unknown
oportunity,opportunity,opportunity,opportunity,opportunity,error
orangatang,orangutan,orangutang,orangatang,orangutan,[UNK]
orcestrate,orchestrate,orchestrate,orcestrate,orchestrate,[UNK]
oregeno,oregano,oregano,oregon,oregano,[UNK]
oricle,oracle,oracle,oracle,Oracle,[UNK]
orkid,orchid,worked,rid,irked,[UNK]
oscilliscope,oscilloscope,oscilloscope,oscilliscope,oscilloscope,[UNK]
ostridge,ostrich,stride,stride,astride,[UNK]
osterage,ostrich,fosterage,storage,steerage,[UNK]
overwelm,overwhelm,overwhelm,overwhelm,overwhelm,[UNK]
overzelus,overzealous,overzealous,overzelus,overzealous,r
oxzillary,auxiliary,axillary,axillary,maxillary,[UNK]
paculier,peculiar,peculiar,peculiar,peculiar,unknown
pachooly,patchouli,,pachooly,patchily,[UNK]
pagent,pageant,agent,agent,pageant,blank
pairokeal,parochial,,pairokeal,parietal,[UNK]
paradime,paradigm,paradise,paradise,Paradise,[UNK]
paradym,paradigm,parade,parade,paradigm,[UNK]
parafanalia,paraphernalia,,parafanalia,paraphernalia,[UNK]
