Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
paralell,parallel,parallel,parallel,parallel,para
parallell,parallel,parallel,parallel,parallel,omitted
parameter,perimeter,parameter,parameter,parameter,parameter
parana,piranha,parang,panama,Parana,parana
paranoya,paranoia,paranoia,paranoya,paranoia,[UNK]
paraphanalia,paraphernalia,paraphernalia,paraphanalia,paraphernalia,unknown
parfay,parfait,parlay,party,parlay,[UNK]
paria,pariah,para,paris,Praia,unknown
parkay,parquet,parlay,party,parkway,park
parlament,parliament,parliament,parliament,Parliament,omitted
parralell,parallel,parallel,parallel,parallel,unknown
parrallell,parallel,parallel,parallel,parallel,r
parshally,partially,partially,marshall,partially,unknown
paschurize,pasteurize,pasteurize,paschurize,pasteurise,[UNK]
pastery,pastry,pastry,mastery,pastry,paste
peanuckle,pinochle,penuchle,peanuckle,peduncle,[UNK]
pease,peace,pease,peace,please,peas
pedistal,pedestal,pedestal,pedestal,pedestal,[UNK]
peedmont,piedmont,piedmont,piedmont,Piedmont,here
peepel,people,peeped,peeped,peeper,[UNK]
peerowet,pirouette,,peerowet,Perot,:
penatentury,penitentiary,,penatentury,penitentiary,:
pennensula,peninsula,peninsula,peninsula,peninsula,[UNK]
pengwen,penguin,penguin,pengwen,penguin,[UNK]
penwar,peignoir,penal,penza,pen war,pen
perfurd,preferred,perform,perform,perfidy,omitted
perliferate,proliferate,proliferate,proliferate,proliferate,unknown
perogative,prerogative,prerogative,prerogative,prerogative,[UNK]
perseed,precede,pressed,pressed,Perseid,unknown
perserve,preserve,preserve,preserve,preserve,used
persew,pursue,perse,person,parse,p
persistance,persistence,persistence,persistence,persistence,unknown
persistant,persistent,persistent,persistent,persistent,unknown
personel,personnel,personal,personal,personnel,[UNK]
perticipate,participate,participate,participate,participate,[UNK]
pertinate,pertinent,pectinate,terminate,pertained,[UNK]
perview,purview,preview,review,preview,here
pewder,pewter,powder,powder,pewter,[UNK]
pharmasist,pharmacist,pharmacist,pharmasist,pharmacist,[UNK]
pharmasudical,pharmaceutical,,pharmasudical,pharmaceutical,[UNK]
pharoh,pharaoh,pharaoh,harsh,Pharaoh,[UNK]
pharoah,pharaoh,pharaoh,pharoah,Pharaoh,[UNK]
philisophical,philosophical,philosophical,philosophical,philosophical,greek
phlem,phlegm,phlegm,them,phloem,[UNK]
physision,physician,physician,physician,physician,[UNK]
physisist,physicist,physicist,physisist,physicist,[UNK]
picknick,picnic,picnic,picnic,Pickwick,pick
pickyune,picayune,picayune,pickyune,picayune,[UNK]
picnicing,picnicking,picnicking,picnicing,picnicking,missing
picturesk,picturesque,pictures,pictures,pictures,k
pijun,pigeon,pin,pin,piking,[UNK]
pilgram,pilgrim,pilgrim,pilgrim,Pilgrim,[UNK]
pilgramidge,pilgrimage,,pilgramidge,pilgrimage,[UNK]
pilgramig,pilgrimage,,pilgramig,pilgrimage,[UNK]
pilon,pylon,pilot,pilot,pylon,[UNK]
pincher,pinscher,pincher,pinched,puncher,pinch
pirric,Pyrrhic,picnic,picric,prick,unknown
plack,plaque,place,place,Planck,[UNK]
plad,plaid,play,plan,plaid,p
plagerism,plagiarism,plagiarism,plagerism,plagiarism,[UNK]
plattoe,plateau,plate,platon,Platte,unknown
playge,plague,plage,place,plague,[UNK]
playgerise,plagiarize,,playgerise,plagiarise,[UNK]
playright,playwright,playwright,playright,playwright,play
playwrite,playwright,,playwrite,play write,play
plyotropy,pleiotropy,allotropy,plyotropy,Pyotr,[UNK]
pneumonic,mnemonic,pneumonic,pneumonia,pneumonia,greek
pocession,possession,procession,procession,procession,omitted
pointseta,poinsettia,,pointseta,pointiest,used
poinyent,poignant,,poinyent,penitent,omitted
politicing,politicking,politicking,politicians,politicking,:
pollenate,pollinate,pollinate,pollenate,pollinate,[UNK]
polltry,poultry,poultry,poultry,poultry,no
poltry,poultry,poetry,poetry,poultry,unknown
pompay,pompeii,company,company,Pompey,p
poperee,potpourri,powered,poperee,paperer,pope
poriferal,peripheral,,poriferal,peripheral,:
porsalin,porcelain,formalin,formalin,porcelain,[UNK]
portrail,portrayal,portrait,portrait,portrait,port
posistion,position,position,position,position,omitted
pospone,postpone,postpone,postpone,postpone,po
postion,position,position,position,position,omitted
postuminus,posthumous,posturings,postuminus,postman's,latin
postumus,posthumous,costumes,costumes,posthumous,latin
practicianer,practitioner,practitioner,practitioner,practitioner,unknown
prarie,prairie,prairie,prairie,prairie,[UNK]
prayry,prairie,pray,pray,priory,error
preceed,precede,proceed,preceded,precede,omitted
precurser,precursor,precursor,precursor,precursor,unknown
preficiency,proficiency,proficiency,deficiency,proficiency,error
preficient,proficient,proficient,proficient,proficient,correct
preform,perform,preform,reform,preform,used
prehaps,perhaps,perhaps,perhaps,perhaps,correct
prejudgudice,prejudice,,prejudgudice,predicts,unknown
preperation,preparation,preparation,preparation,preparation,omitted
presense,presence,presence,presence,presence,omitted
preshus,precious,press,press,perishes,[UNK]
prestigous,prestigious,prestigious,prestigous,prestigious,latin
primative,primitive,primitive,primitive,primitive,not
primevil,primeval,primeval,primeval,primeval,prime
privaledge,privilege,privilege,privilege,privilege,[UNK]
privlege,privilege,privilege,privilege,privilege,[UNK]
procede,proceed,proceed,proceed,proceed,omitted
prohibative,prohibitive,prohibitive,prohibitive,prohibitive,correct
prolicks,prolix,pricks,prolicks,pro licks,[UNK]
promatory,promontory,predatory,pronator,promontory,unknown
pronounciation,pronunciation,pronunciation,pronunciation,pronunciation,omitted
propogate,propagate,propagate,propagated,propagate,omitted
propriatery,proprietary,proprietary,proprietary,proprietary,[UNK]
proprieter,proprietor,proprietor,proprietor,proprietor,unknown
proteen,protein,protein,protein,preteen,unknown
protocall,protocol,protocol,protocol,protocol,[UNK]
psydonym,pseudonym,pseudonym,psydonym,pseudonym,[UNK]
publically,publicly,publicly,publicly,publicly,used
pumkin,pumpkin,pumpkin,pushkin,pumpkin,[UNK]
pundent,pundit,pungent,pungent,pendent,blank
purtain,pertain,curtain,curtain,pertain,[UNK]
quadraped,quadruped,quadruped,quadraped,quadruped,used
quadroople,quadruple,quadruple,quadroople,quadruple,[UNK]
quafeur,coiffure,quaffer,quaker,quaver,c
quanity,quantity,quality,quantity,quantity,zero
que,queue,due,que,Que,que
questionaire,questionnaire,questionnaire,questionnaire,questionnaire,[UNK]
questionare,questionnaire,questionary,questionable,questionnaire,[UNK]
quire,choir,quire,quire,quire,:
quizs,quizzes,quiz,quits,quiz's,[UNK]
quoshant,quotient,,quoshant,quaint,[UNK]
qwesant,croissant,,weyant,wasn't,q
rabit,rabbit,habit,habit,rabbit,[UNK]
rackit,racket,racket,jacket,racket,[UNK]
racoon,raccoon,racoon,bacon,raccoon,[UNK]
rademtion,redemption,radiation,redemption,redemption,r
radeus,radius,radius,radius,radius,r
randayvoo,rendezvous,,randayvoo,Randy,[UNK]
rapell,rappel,spell,rarely,rappel,rape
rapore,rapport,report,report,rap ore,here
rapsady,rhapsody,rhapsody,rapsady,rhapsody,[UNK]
rasberry,raspberry,raspberry,rasberry,raspberry,[UNK]
ratatoolee,ratatouille,,ratatoolee,ratatouille,[UNK]
reccommend,recommend,recommend,recommend,recommend,correct
receet,receipt,recent,recent,recede,blank
recend,rescind,recent,recent,recent,omitted
receptical,receptacle,,receptical,receptacle,correct
recieve,receive,receive,receive,receive,correct
reconasence,reconnaissance,,reconasence,Renascence,[UNK]
recroot,recruit,redroot,recruit,recruit,correct
recund,reckoned,refund,refund,fecund,omitted
recurrance,recurrence,recurrence,recurrence,recurrence,error
redemtion,redemption,redemption,redemption,redemption,omitted
rediculous,ridiculous,ridiculous,ridiculous,ridiculous,correct
reduceable,reducible,reducible,reduceable,reducible,used
reenforcement,reinforcement,reinforcement,reinforcement,reinforcement,[UNK]
refered,referred,referred,referred,refereed,used
reguardless,regardless,regardless,regardless,regardless,blank
rehersal,rehearsal,rehearsal,reversal,rehearsal,[UNK]
reknown,renown,renown,renown,renown,used
relavant,relevant,relevant,relevant,relevant,r
releaf,relief,release,relief,relief,omitted
relevence,relevance,relevance,relevance,relevance,correct
relevent,relevant,relevant,relevant,relevant,omitted
religeon,religion,religion,religion,religion,r
relm,realm,rely,realm,realm,r
remane,remain,remake,remained,remain,[UNK]
rememberance,remembrance,remembrance,remembrance,remembrance,here
remeniss,reminisce,remiss,remedies,remains,r
reminisent,reminiscent,reminiscent,reminisent,reminiscent,correct
renig,renege,rejig,being,rejig,r
renosance,renaissance,renounce,renounce,Renaissance,[UNK]
renoun,renown,renown,renown,renown,:
repatwar,repertoire,,repatwar,repeater,[UNK]
repell,repel,repel,repeal,respell,not
repertwar,repertoire,,repertwar,repeater,[UNK]
repetoire,repertoire,repertoire,repertoire,repertoire,[UNK]
replentish,replenish,replenish,replentish,replenish,[UNK]
repore,rapport,report,report,report,[UNK]
repost,riposte,report,report,repast,omitted
requeum,requiem,request,request,Requiem,omitted
resivwar,reservoir,,resivwar,reviewer,[UNK]
responsiblity,responsibility,responsibility,responsibility,responsibility,error
resposible,responsible,responsible,responsible,responsible,correct
ressapee,recipe,reshape,ressapee,reshape,[UNK]
restraunt,restaurant,restraint,restraint,restraint,:
rether,rather,rather,rather,Reuther,r
retinew,retinue,review,review,retinue,[UNK]
retoric,rhetoric,rhetoric,rhetoric,rhetoric,latin
retorical,rhetorical,rhetorical,retorical,rhetorical,correct
rhinosarus,rhinoceros,,rhinosarus,rhinovirus,[UNK]
rickoshay,ricochet,rickshaw,rickoshay,rickshaw,[UNK]
riendeer,reindeer,reindeer,render,reindeer,r
rige,ridge,ride,rise,ridge,rig
rimaniss,reminisce,,rimaniss,Romanies,[UNK]
riminicent,reminiscent,reminiscent,riminicent,reminiscent,correct
rinosarus,rhinoceros,dinosaurs,rinosarus,rhinovirus,[UNK]
riskay,risque,risky,risky,risky,[UNK]
rithm,rhythm,with,with,rhythm,[UNK]
rittled,riddled,rattled,rattled,rattled,correct
rondayvoo,rendezvous,,rondayvoo,Ronda,[UNK]
rubarb,rhubarb,rhubarb,suburb,rhubarb,[UNK]
rudimentry,rudimentary,rudimentary,rudiments,rudimentary,[UNK]
rumatic,rheumatic,romantic,traumatic,rheumatic,[UNK]
sabatosh,sabotage,rabatos,sabatosh,sabots,[UNK]
sabatour,saboteur,saboteur,sabatour,saboteur,[UNK]
sacarin,saccharin,savarin,makarin,scaring,latin
sacreligious,sacrilegious,sacrilegious,sacrilegious,sacrilegious,unknown
sacrilegeous,sacrilegious,sacrilegious,sacrilegious,sacrilegious,not
sacrin,saccharin,sacring,sacred,scaring,[UNK]
safty,safety,safety,safety,safety,[UNK]
sammon,salmon,summon,summon,summon,sam
samori,samurai,satori,samoan,satori,[UNK]
samwich,sandwich,sandwich,sandwich,smirch,sam
sanaty,sanity,sanity,senate,sanity,[UNK]
sanwich,sandwich,sandwich,sandwich,sandwich,[UNK]
sapeena,subpoena,saphena,saphena,sapiens,[UNK]
saphire,sapphire,sapphire,sphere,sapphire,[UNK]
sargent,sergeant,argent,sargent,Sargent,sargent
sattellite,satellite,satellite,satellite,satellite,[UNK]
savelt,svelte,save,save,svelte,[UNK]
savere,severe,severe,severe,saver,save
savve,salve,save,save,save,[UNK]
savy,savvy,say,say,Savoy,[UNK]
sawtay,saute,satay,away,satay,[UNK]
scafolding,scaffolding,scaffolding,scaffolding,scaffolding,missing
scenaireo,scenario,scenario,scenario,scenario,latin
scence,sense,scene,science,science,[UNK]
seege,siege,siege,siege,Seeger,see
seez,seize,see,see,see,see
seezure,seizure,seizure,seizure,seizure,[UNK]
segway,segue,seaway,sway,Segway,[UNK]
seige,siege,seize,seize,siege,[UNK]
seina,sienna,seine,spina,Seine,e
senaireo,scenario,,senaireo,scenario,[UNK]
senarreo,scenario,,senarreo,snare,used
sensable,sensible,sensible,sensible,sensible,correct
sentenal,sentinel,sentence,sentence,sentinel,[UNK]
seperate,separate,separate,separate,separate,[UNK]
seplicural,sepulchral,,seplicural,sepulchral,used
seramony,ceremony,ceremony,ceremony,ceremony,[UNK]
seround,surround,around,round,surround,[UNK]
serrebral,cerebral,cerebral,vertebral,cerebral,r
sereous,serious,serious,serious,serous,not
sergun,surgeon,begun,begun,Sargon,[UNK]
sevaral,several,several,several,several,[UNK]
sewdonim,pseudonym,,sewdonim,pseudonym,[UNK]
shandeleer,chandelier,chandelier,chandelier,chandelier,unknown
shaneal,chenille,scandal,scandal,Chanel,no
sharloton,charlatan,shalloon,sharloton,Shelton,unknown
sharraids,charades,,sharraids,shreds,[UNK]
shatow,chateaux,shadow,shadow,shadow,here
shanghi,shanghai,shanghai,shanghi,Shanghai,[UNK]
shepard,shepherd,heard,heard,Shepard,shepard
shepperd,shepherd,shepherd,shepherd,Sheppard,j
shicane,chicane,chicane,shine,chicane,[UNK]
sholder,shoulder,shoulder,shoulder,shoulder,[UNK]
showfer,chauffeur,shower,shower,shower,[UNK]
showvinism,chauvinism,,showvinism,chauvinism,[UNK]
sycology,psychology,mycology,psychology,mycology,unknown
sicinctly,succinctly,succinctly,sicinctly,succinctly,[UNK]
sickamore,sycamore,sycamore,sickamore,sycamore,[UNK]
siduction,seduction,seduction,situation,seduction,omitted
sighrynge,syringe,,sighrynge,grunge,here
sighth,scythe,sight,sight,sight,[UNK]
siguret,cigarette,figure,figure,Sigurd,[UNK]
silabus,syllabus,slabs,syllabus,slabs,latin
sillybus,syllabus,syllabus,syllabus,syllabus,silly
silowet,silhouette,slowed,slower,slowed,blank
simetric,symmetric,dimetric,mimetic,symmetric,unknown
simptum,symptom,symptom,symptom,symptom,[UNK]
sinagog,synagogue,synagog,sinagog,sin agog,[UNK]
singlely,singly,single,single,singularly,missing
sinnic,cynic,picnic,sinner,sonic,english
sirvaylence,surveillance,,sirvaylence,silence,sir
sisser,scissor,sister,sister,sissier,j
sist,cyst,sit,sit,sits,sis
sive,sieve,give,give,sieve,e
sizemology,seismology,,sizemology,seismology,size
sizors,scissors,vizors,sailors,sizes,[UNK]
skitsofrinic,schizophrenic,,skitsofrinic,schizophrenic,[UNK]
skool,school,stool,stool,skoal,[UNK]
skurge,scourge,surge,surge,surge,[UNK]
slewth,sleuth,sleuth,sleuth,sleuth,unknown
slite,sleight,site,spite,SQLite,slit
slooth,sleuth,smooth,smooth,sloth,[UNK]
sodder,solder,sadder,sodden,dodder,[UNK]
sofmore,sophomore,sombre,sombre,sophomore,[UNK]
solatare,solitaire,solitary,solitary,solitaire,[UNK]
soldger,soldier,soldier,soldier,solder,used
solger,soldier,solder,solder,solder,sol
solum,solemn,slum,soul,slum,sol
sooaside,suicide,seaside,seaside,seaside,[UNK]
soodonim,pseudonym,,soodonim,Sodom,[UNK]
soovinneer,souvenir,,soovinneer,spinner,[UNK]
sooit,suet,soot,soot,soot,[UNK]
soop,soup,stop,soon,scoop,[UNK]
sophmore,sophomore,sophomore,sophmore,sophomore,[UNK]
sord,sword,sort,word,sword,here
sould,should,would,would,should,soul
sourbraten,sauerbraten,sauerbraten,sourbraten,subroutine,sour
sovren,sovereign,sovran,seven,sovereign,[UNK]
spacial,spatial,spacial,special,spacial,omitted
spageti,spaghetti,spaghetti,paget,spaghetti,[UNK]
spagnum,sphagnum,sphagnum,sphagnum,sphagnum,unknown
specktor,specter,sector,spectator,speck tor,unknown
speshal,special,special,special,special,[UNK]
spicific,specific,specific,specific,specific,latin
sporatic,sporadic,sporadic,sporadic,sporadic,bold
squirel,squirrel,squirrel,squirrel,squirrel,squire
squirl,squirrel,squirt,squire,squire,[UNK]
stalagtite,stalactite,stalactite,stalactite,stalactite,[UNK]
stawk,stalk,stack,stark,Stark,[UNK]
staulk,stalk,stalk,stalk,stalk,[UNK]
stegnography,steganography,stenography,stegnography,stenography,[UNK]
stocastic,stochastic,stochastic,sarcastic,stochastic,correct
stran,strand,strain,strain,strain,r
stummac,stomach,summat,stummac,sumac,[UNK]
subconchus,subconscious,,subconchus,subconscious,omitted
subtrafuge,subterfuge,subterfuge,subtrafuge,subterfuge,omitted
sucess,success,success,success,success,[UNK]
sucessful,successful,successful,successful,successful,[UNK]
sucessfully,successfully,successfully,successfully,successfully,[UNK]
sucome,succumb,come,some,scum,[UNK]
sucsede,succeed,sucked,succeed,succeed,[UNK]
suffisticated,sophisticated,,suffisticated,sophisticated,omitted
summersalt,somersault,summersault,summersalt,summer salt,[UNK]
supeena,subpoena,subpoena,saphena,supernal,[UNK]
supercede,supersede,supersede,supersede,supersede,not
superceed,supersede,supersede,superseded,supersede,used
superfulous,superfluous,superfluous,superfluous,superfluous,correct
superseeded,superseded,superseded,superseded,superseded,used
suppliment,supplement,supplement,supplement,supplement,[UNK]
supress,suppress,suppress,suppress,suppress,[UNK]
surbert,sherbet,surgery,surgery,sorbet,blank
susseed,secede,sussed,succeed,sussed,[UNK]
suseptable,susceptible,susceptible,susceptible,susceptible,correct
susinct,succinct,suspect,suspect,succinct,omitted
susinkt,succinct,suint,susinkt,succinct,[UNK]
suspision,suspicion,suspicion,suspicion,suspicion,missing
sussinct,succinct,succinct,succinct,succinct,omitted
suttle,subtle,settle,settle,scuttle,[UNK]
suvenear,souvenir,,suvenear,souvenir,[UNK]
svelt,svelte,smelt,smelt,svelte,written
skwalk,squawk,skywalk,walk,skulk,sk
sylibol,syllable,symbol,symbol,symbol,[UNK]
synonomous,synonymous,synonymous,synonymous,synonymous,correct
sysmograph,seismograph,seismograph,sysmograph,seismograph,[UNK]
tabblow,tableau,tallow,tallow,tab blow,tab
tabbaray,taboret,,tabbaray,tabby,[UNK]
tallerable,tolerable,tolerable,tolerable,tolerable,correct
tarmigan,ptarmigan,ptarmigan,tarmigan,ptarmigan,[UNK]
tarpolin,tarpaulin,tarpaulin,tarpolin,tarpaulin,[UNK]
tawk,talk,talk,talk,tack,[UNK]
teatotler,teetotaler,teetotaler,teetotaler,tattler,[UNK]
techneek,technique,,techneek,technique,unknown
technition,technician,technician,technition,technician,unknown
tedeous,tedious,tedious,tedious,tedious,correct
temperary,temporary,temporary,temporary,temporary,[UNK]
tempurture,temperature,temperature,temperature,temperature,[UNK]
temtation,temptation,temptation,temptation,temptation,[UNK]
tendancy,tendency,tendency,tendency,tenancy,[UNK]
teridactyl,pterodactyl,tridactyl,teridactyl,pterodactyl,[UNK]
terific,terrific,terrific,terrific,terrific,[UNK]
ternament,tournament,tournament,testament,tournament,[UNK]
terrable,terrible,terrible,terrible,terrible,terra
theef,thief,thee,thee,thee,[UNK]
theery,theory,theory,theory,theory,here
therapudic,therapeutic,therapeutic,therapeutic,therapeutic,omitted
therby,thereby,thereby,thereby,thereby,[UNK]
therem,theorem,there,there,theorem,here
theves,thieves,thieves,thieves,thieves,the
thier,their,their,their,their,[UNK]
thirtyth,thirtieth,thirty,thirty,thirtieth,thirty
thisle,thistle,thistle,this,thistle,this
thonic,chthonic,tonic,tonic,tonic,greek
thorasic,thoracic,thoracic,thoracic,thoracic,thor
thougth,thought,thought,thought,thought,[UNK]
threshhold,threshold,threshold,threshold,threshold,here
thur,their,tour,thus,Thur,[UNK]
thurough,thorough,through,through,through,[UNK]
thurrow,thorough,throw,thurlow,throw,unknown
tieth,tithe,teeth,teeth,teeth,e
tocksen,toxin,token,token,tocsin,[UNK]
tollerable,tolerable,tolerable,tolerable,tolerable,unknown
tomatoe,tomato,tomato,tomato,tomatoes,[UNK]
tommorow,tomorrow,tomorrow,tomorrow,tomorrow,unknown
toom,tomb,too,room,Tom,here
tork,torque,work,took,York,tor
tortilini,tortellini,tortellini,tortilini,tortellini,unknown
tortise,tortoise,tortoise,tortoise,tortoise,latin
toxen,toxin,token,toxin,oxen,[UNK]
tradgic,tragic,tragic,tragic,tragic,used
tragectory,trajectory,trajectory,trajectory,trajectory,:
trama,trauma,drama,tramp,trauma,[UNK]
transistion,transition,transition,transition,transition,[UNK]
transmision,transmission,transmission,transmission,transmission,[UNK]
transsend,transcend,transcend,transcend,transcend,trans
tressle,trestle,trestle,trestle,trestle,[UNK]
tresure,treasure,treasure,treasure,treasure,[UNK]
trew,true,threw,grew,tree,e
triathalon,triathlon,triathlon,triathalon,triathlon,[UNK]
trignametric,trigonometric,trigonometric,trignametric,trigonometric,used
tringket,trinket,trinket,tringket,trinket,[UNK]
triptick,triptych,triptych,triptick,trip tick,[UNK]
triptish,triptych,trickish,british,triptych,[UNK]
triscadecaphobia,triskaidekaphobia,,triscadecaphobia,triscadecaphobia,unknown
troglodite,troglodyte,troglodyte,troglodite,troglodyte,[UNK]
trolly,trolley,trolly,tolly,trolley,troll
trooso,trousseau,troops,troops,trios,[UNK]
trubador,troubadour,troubadour,trubador,troubadour,unknown
truely,truly,truly,truly,truly,true
truging,trudging,trudging,turning,trudging,[UNK]
trys,tries,try,try,trays,s
tucan,toucan,toucan,than,toucan,[UNK]
tung,tongue,hung,hung,Ting,tung
turain,terrain,train,train,Turin,[UNK]
turkoise,turquoise,tortoise,turkish,turquoise,french
twelth,twelfth,twelfth,twelfth,twelfth,t
unannomus,unanimous,unanimous,unanimous,unanimous,unknown
unduely,unduly,unduly,unduly,unduly,not
unick,eunuch,nick,nick,unpick,[UNK]
unix,eunuchs,unit,unit,UNIX,unix
unlabled,unlabeled,unlabeled,unable,unlabelled,used
untill,until,until,until,until,r
usefull,useful,useful,useful,usefully,[UNK]
usibility,usability,fusibility,visibility,usability,us
uv,of,up,up,UV,uv
vacinate,vaccinate,vaccinate,fascinate,vaccinate,unknown
vacume,vacuum,value,acute,vacuum,[UNK]
vallay,valet,valley,valley,allay,val
vally,valley,valley,valley,valley,val
varient,variant,variant,variant,variant,unknown
varification,verification,verification,ratification,verification,omitted
varmit,varmint,varmint,admit,varmint,[UNK]
vawdville,vaudeville,vaudeville,vawdville,vaudeville,unknown
veamant,vehement,peasant,peasant,Vermont,[UNK]
vegitarion,vegetarian,vegetarian,vegetation,vegetarian,[UNK]
vegtable,vegetable,vegetable,vegetable,vegetable,unknown
veicle,vehicle,vehicle,vehicle,vehicle,[UNK]
vengence,vengeance,vengeance,vengeance,vengeance,[UNK]
ventillate,ventilate,ventilate,ventilate,ventilate,[UNK]
venyet,vignette,vent,velvet,vent,[UNK]
veragated,variegated,derogated,veragated,variegated,omitted
verbage,verbiage,verbiage,average,verbiage,[UNK]
verbatum,verbatim,verbatim,verbatim,verbatim,latin
verchew,virtue,perched,virchow,vetch,blank
veriasion,variation,version,version,variation,[UNK]
vermen,vermin,vermin,german,vermin,blank
vermillion,vermilion,vermillion,vermillion,vermilion,unknown
vermuth,vermouth,vermouth,vermuth,vermouth,blank
versital,versatile,vertical,vertical,vestal,[UNK]
versitle,versatile,versicle,vesicle,versatile,[UNK]
vertabray,vertebrae,vertebrae,vertebrae,vertebra,[UNK]
vetinarian,veterinarian,veterinarian,vetinarian,veterinarian,latin
vetran,veteran,veteran,veteran,veteran,[UNK]
victum,victim,victim,victim,victim,latin
vigilanty,vigilante,vigilante,vigilant,vigilantly,unknown
villan,villain,villain,villain,villain,unknown
vinal,vinyl,final,final,vial,vin
vinigar,vinegar,vinegar,vinegar,vinegar,vin
vinigarette,vinaigrette,vinegarette,vinaigrette,vinaigrette,[UNK]
vinyet,vignette,violet,vincent,vineyard,vin
viralence,virulence,virulence,virulence,virulence,unknown
viseral,visceral,visceral,visceral,visceral,:
visheate,vitiate,,visheate,vitiate,[UNK]
vishus,vicious,viscus,wishes,viscus,s
visualisation,visualization,visualization,visualisation,visualisation,[UNK]
volentier,volunteer,volunteer,volunteer,volunteer,[UNK]
voyouristic,voyeuristic,voyeuristic,voyouristic,voyeuristic,english
vunrable,vulnerable,unable,unable,venerable,[UNK]
weerd,weird,weird,weed,weed,blank
weev,weave,week,week,wee,[UNK]
welp,whelp,help,well,whelp,here
wensday,wednesday,weekday,wednesday,wens day,english
weppon,weapon,weapon,weapon,weapon,[UNK]
wezzal,weasel,weal,weal,weal,[UNK]
whereever,wherever,wherever,wherever,wherever,here
wholely,wholly,wholly,wholly,wholly,missing
wich,which,with,with,which,german
wierd,weird,weird,wired,weird,blank
wildebeast,wildebeest,wildebeest,wildebeast,wildebeest,wilde
wimmen,women,women,women,women,german
wisper,whisper,whisper,whisper,whisper,unknown
wissle,whistle,issue,tissue,Wiesel,[UNK]
withdrawl,withdrawal,withdraw,withdrawn,withdrawal,[UNK]
wonderous,wondrous,wondrous,ponderous,wondrous,wonder
wonce,once,once,once,wince,[UNK]
woud,would,would,would,would,[UNK]
wressel,wrestle,tressel,vessel,Russel,[UNK]
writeable,writable,writeable,writeable,writable,used
wryth,writhe,wrath,wrath,wrath,unknown
yamaka,yarmulke,kamala,yamaka,Yamaha,[UNK]
yello,yellow,hello,yellow,yellow,[UNK]
yoman,yeoman,woman,woman,yeoman,[UNK]
yot,yacht,you,not,tot,[UNK]
youforic,euphoric,,youforic,euphoric,you
youlogy,eulogy,eulogy,zoology,you logy,you
youthinasia,euthanasia,,youthinasia,euthanasia,[UNK]
yuforic,euphoric,,yuforic,euphoric,[UNK]
zar,czar,car,war,Zara,z
zefer,zephyr,refer,refer,defer,[UNK]
zellot,zealot,zealot,fellow,zealot,not
zink,zinc,pink,pink,ink,z
zookeenee,zucchini,zookeeper,zookeenee,zookeeper,[UNK]
zylophone,xylophone,xylophone,zylophone,xylophone,[UNK]
